"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"1",17,16,30,63,60,38,106,84,11,6,16,11,14,33,3,3,12,0.260593650952821,2.39433046998798,0.2
"2",10,31,37,78,51,39,107,108,6,5,27,9,13,39,4,4,1,0.519091786709566,2.31794231543938,0.6
"3",12,18,34,64,55,41,109,104,8,5,9,14,20,19,2,4,10,0.656366209314775,2.51371173025017,0.4
"4",28,31,50,109,45,35,103,108,9,3,11,6,3,30,0,2,6,0.317546045650405,1.74364153464674,0.9
"5",17,14,27,58,60,43,98,108,7,2,31,16,12,38,9,4,6,0.360591003243193,1.86214922548487,0.1
"6",20,27,49,96,45,40,108,91,11,8,23,21,7,39,8,4,5,0.356497609328425,2.28144828722851,0.1
"7",26,10,27,63,60,34,102,110,14,9,26,22,27,35,10,2,5,0.455431294979542,1.70949069317891,0.1
"8",16,14,27,57,51,37,102,104,10,8,24,22,23,36,2,5,1,1.02595218502473,3.1946834291191,9.4
"9",20,21,39,80,51,20,83,97,13,6,25,22,32,18,3,4,1,0.40918307293524,2.33578394471857,4.6
"10",12,13,20,45,65,46,115,97,14,8,35,25,27,38,4,5,1,0.277066873653732,2.04207252441018,0.2
"11",12,12,38,62,65,39,107,78,13,8,28,18,23,37,9,4,9,1.96325918873589,3.67002634054722,40.4
"12",15,11,33,59,63,23,86,121,13,7,24,10,30,33,7,4,12,0.485350500100371,1.57885011762448,0.6
"13",19,20,39,78,51,45,114,117,10,8,25,21,9,31,3,2,2,1.15470241015154,2.76371845510477,14.1
"14",19,17,31,67,55,38,103,87,9,8,23,13,15,39,6,5,1,0.813836728832976,2.90008375382788,3.4
"15",11,11,25,47,65,27,90,91,15,9,23,15,6,32,2,4,2,0.790682071674519,2.17770703092628,3.3
"16",15,15,30,60,55,35,101,103,9,8,27,12,10,39,3,4,11,0.560561100444094,2.31022733405645,1.2
"17",12,19,34,65,65,8,70,64,9,5,23,14,11,38,2,4,7,2.19829927142157,4.17321820809389,10.2
"18",19,22,44,85,55,41,109,106,10,3,34,12,9,39,6,4,6,0.461974258151095,2.4609872405787,0.3
"19",17,13,30,60,65,25,88,79,13,7,29,16,19,39,9,4,19,1.06808420247847,2.1250280230481,3.6
"20",18,13,30,61,60,33,100,91,14,8,23,25,16,31,2,5,17,0.631303993950523,3.15602945005474,0.2
"21",15,17,37,69,61,26,93,110,6,2,26,25,13,36,6,5,12,0.387892670111157,3.15602505547921,0.6
"22",21,14,30,65,60,29,96,106,12,8,29,39,41,38,9,4,5,0.401886154330286,2.54063040207795,1
"23",27,12,40,79,50,28,92,81,15,6,25,14,7,29,5,4,1,1.98290867723244,2.6104975500784,19.2
"24",17,14,26,57,70,26,93,87,13,9,34,21,27,35,5,4,14,1.11120461705333,3.04598903824605,4.4
"25",14,37,38,89,50,11,73,71,6,6,10,3,3,31,0,4,1,0.716348060344437,2.69767949409448,1.1
"26",12,15,36,63,61,18,84,93,7,7,23,9,28,33,3,4,3,0.577728948601762,3.02571841005141,4.7
"27",16,13,41,70,50,24,87,88,5,7,29,18,20,38,5,4,13,0.829986419784273,2.46293083772087,7.7
"28",20,16,41,77,61,13,75,88,11,7,20,20,13,33,2,4,1,0.331346606059927,2.59206755071896,1.4
"29",23,16,44,83,50,25,92,81,11,8,29,23,31,36,3,4,2,0.367945922243915,2.50565744193454,0.4
"30",19,10,29,58,60,33,98,74,13,8,32,30,34,36,4,5,1,0.332164305372009,2.68709750997858,0.5
"31",29,12,44,85,55,27,90,82,13,3,35,24,36,36,0,5,8,0.814602094143547,5.16722571844925,4.2
"32",21,14,40,75,65,19,81,85,16,7,26,17,21,27,9,4,7,0.39382701654735,2.58818735238129,6.5
"33",15,28,40,83,53,33,97,79,5,3,27,20,1,36,2,2,3,0.311691364842638,2.79455785927547,6
"34",23,17,42,82,35,30,97,99,11,7,20,18,10,35,9,5,19,1.32408013627922,2.26835968860832,0.8
"35",21,13,39,73,65,28,95,93,13,6,30,26,32,34,5,2,8,0.984584577602654,1.82185006411245,1.5
"36",19,11,39,69,45,25,88,103,12,7,33,12,11,38,0,4,3,0.450121177099819,2.4171792319842,1.4
"37",11,14,33,58,60,43,108,98,14,9,32,17,26,39,7,4,6,1.78720199580864,3.07101414451913,3.8
"38",17,20,37,74,55,22,85,69,11,8,34,25,12,39,9,5,12,0.824583202414215,2.48624766795297,5.1
"39",19,17,32,68,51,49,115,108,11,9,32,18,13,38,4,4,4,0.190301198406797,1.65592768245053,1.3
"40",11,22,35,68,55,43,108,97,14,8,36,21,21,39,9,5,13,0.198148730005812,1.42352381297272,0.1
"41",21,17,44,82,50,35,99,95,9,6,13,8,6,29,0,5,8,1.72960806467983,2.9003449228392,0.1
"42",22,28,48,98,45,36,100,97,9,5,28,8,6,37,3,5,4,1.28668828474522,3.27217489599865,6.4
"43",22,19,38,79,60,31,98,87,7,5,22,11,11,33,9,5,2,0.549675642331934,2.45972293399237,1.5
"44",26,15,35,76,40,28,95,93,7,9,32,23,25,37,0,2,8,0.217838026922497,2.52990110270513,2
"45",27,15,42,84,51,11,76,69,12,6,32,25,15,36,4,5,1,0.681840929718456,4.49394409221225,0.4
"46",10,22,34,66,65,50,116,108,11,5,28,16,14,39,8,5,16,1.18686889434879,1.94717966593508,0.9
"47",15,15,34,64,50,25,92,77,6,6,27,20,1,32,2,4,1,1.10235900302167,2.63335062704515,4.3
"48",16,33,49,98,51,21,84,69,2,5,31,11,15,39,5,5,1,2.00849795739975,3.26858201422696,7.3
"49",21,22,50,93,41,40,105,84,5,3,20,7,4,34,2,5,8,1.19221557388434,3.05577314638102,7.4
"50",17,11,31,59,61,11,73,87,16,9,23,19,20,33,9,5,6,0.846371583036089,3.03780929876274,6
"51",25,11,31,67,61,27,94,91,15,7,32,29,34,39,8,2,8,0.353222569133464,2.33730224718038,2.3
"52",15,10,24,49,60,31,95,103,13,9,36,29,35,39,10,5,13,0.25422972921402,2.25807285434145,0.1
"53",25,13,33,71,61,31,95,97,10,7,20,15,22,32,9,5,2,0.413477259791503,2.06978665379073,2.3
"54",20,11,46,77,55,37,104,78,7,8,14,11,12,39,7,5,6,3.26677305490077,3.91350819243021,14.2
"55",16,12,37,65,55,38,106,128,9,8,24,12,7,30,2,2,7,1.16825247793442,2.32728151175276,2.9
"56",17,17,42,76,61,42,110,104,8,7,31,22,22,39,10,4,5,0.469093513358824,2.13737061100337,0.4
"57",13,21,24,58,51,35,99,101,12,5,21,23,15,36,3,4,2,2.05694014285225,2.78710277366615,6.5
"58",30,29,48,107,45,26,89,75,10,5,15,12,10,27,2,2,2,0.667904009269573,2.82665411320574,0.5
"59",16,23,42,81,30,33,100,106,12,9,33,24,34,39,3,5,1,1.41842989162562,2.79339420107001,1.9
"60",13,19,32,64,51,38,103,87,11,3,27,16,13,32,7,5,5,0.559299688722393,2.11393789101979,0.1
"61",21,21,37,79,60,24,90,91,12,8,28,18,7,36,9,5,14,0.244768784346095,1.52755916439258,0.6
"62",12,17,29,58,44,48,117,97,14,6,18,10,6,39,0,4,3,0.940425622253005,3.37196575144835,0.8
"63",9,21,30,60,52,40,105,97,10,6,26,12,16,33,9,4,9,0.793997746690929,2.62573979942637,3.1
"64",11,16,29,56,62,24,87,79,9,8,31,12,9,36,2,5,1,0.932143874574064,2.63089576919541,11.1
"65",11,14,27,52,48,39,107,90,6,9,23,16,8,30,3,5,6,0.386387049828498,2.13815185039575,0.4
"66",12,15,26,53,41,50,116,90,10,3,32,20,9,34,1,5,1,0.467276187661664,1.91485121651763,1.1
"67",18,11,40,69,52,30,97,67,11,7,24,22,34,37,10,5,6,0.646096986815357,1.41811100023399,1.9
"68",12,20,28,60,40,24,87,77,9,6,23,9,4,25,0,4,1,0.584255952015378,1.07479259954645,1.1
"69",13,32,33,78,38,43,112,67,13,6,28,28,16,34,0,4,20,0.432251858929439,2.28646809193785,1
"70",15,17,36,68,58,35,99,89,12,5,19,22,20,22,0,5,5,0.457136122825623,3.00690993507548,1.1
"71",14,9,27,54,70,44,113,95,14,7,36,26,37,39,9,5,1,0.420681069678705,1.75784295358532,0.2
"72",17,12,33,62,58,41,109,104,6,4,16,8,8,29,10,4,7,0.983883584323184,2.4000051976971,0.4
"73",18,22,41,81,32,13,75,79,10,6,23,17,7,34,2,5,1,1.02231180974301,2.98819923565533,12.8
"74",14,21,30,65,51,15,77,65,10,3,36,15,3,36,0,2,6,1.52505574041584,2.11435766111141,1.7
"75",12,12,28,52,52,47,116,103,13,7,23,26,21,29,10,5,14,1.66618861397701,2.94617894956686,0.3
"76",13,13,28,54,55,15,90,72,9,5,16,13,13,36,10,5,3,0.556166152621993,1.97587029270472,2.1
"77",16,12,30,58,64,46,115,104,11,6,24,11,12,29,10,5,1,0.942644185966886,2.10480034425355,2
"78",14,15,27,56,63,44,113,106,9,6,16,12,9,25,8,5,10,0.795294170878538,2.50276457003425,0.4
"79",11,13,25,49,55,34,102,77,10,6,17,13,23,29,2,5,13,0.822333417553085,1.97860085055126,2.6
"80",22,16,36,74,67,47,116,88,15,9,37,21,18,38,3,5,1,0.659940243164032,2.0226062991834,9.7
"81",13,13,23,49,69,35,103,90,12,6,33,16,13,39,4,5,4,0.359926226014774,2.58515164722448,1
"82",12,12,32,56,70,36,104,99,17,7,32,37,34,38,4,4,1,0.514082092059264,2.72258187660636,2.5
"83",23,12,36,71,58,40,105,99,11,8,26,15,6,34,2,5,8,0.801432486933722,2.20825233395278,0.3
"84",25,12,35,72,58,37,102,85,8,7,21,11,5,28,4,5,2,1.13807381216721,2.34688541683294,1.1
"85",11,12,23,46,60,6,70,70,10,7,25,13,15,35,4,4,3,0.692486242786388,2.27698895205673,4.3
"86",14,10,20,44,69,40,105,87,11,8,25,14,10,36,2,5,8,1.86052567694937,2.43670798699306,4.5
"87",16,19,36,71,50,43,112,97,10,5,32,24,12,34,2,4,10,2.1477510124609,2.2450252126473,1.7
"88",18,15,28,61,62,24,90,67,13,8,23,16,25,0,2,4,7,0.900172647824683,2.87808155145444,6.2
"89",19,19,32,70,43,27,90,99,9,6,21,28,15,25,5,5,11,1.45790566178716,2.47675280403696,6.7
"90",18,9,25,52,79,27,90,91,17,8,33,21,30,38,10,4,10,0.377044863623558,2.43875318766706,2.5
"91",16,14,31,61,67,40,105,70,14,7,27,16,0,32,0,5,4,0.963362073880825,3.16097375733245,4.6
"92",20,20,38,78,50,21,87,71,10,6,16,13,6,27,2,2,9,1.00010488884954,2.9951713053397,3.1
"93",18,13,24,55,57,23,86,87,7,4,22,15,10,31,4,4,11,2.42036051312053,2.83324984482195,1.2
"94",23,14,40,77,60,20,83,75,9,5,28,24,30,34,5,5,9,0.334417159685547,2.46559937964359,3
"95",22,12,41,75,52,33,97,87,10,6,25,16,13,35,4,4,6,0.253031244458599,2.38318384936095,0.2
"96",16,12,31,59,70,37,102,98,10,7,15,16,6,37,2,5,5,1.18876266809795,2.12027879430997,1.4
"97",15,9,18,42,71,33,99,90,11,7,32,26,30,36,6,5,13,0.01,2.07196471548392,0.6
"98",18,16,39,73,52,40,108,72,9,6,33,29,7,38,3,5,2,0.479048705141419,2.96626136052664,0.6
"99",20,9,23,52,59,35,102,90,6,7,21,7,4,31,9,5,5,0.564297614711077,2.40190722674539,1.7
"100",13,19,39,71,52,45,110,89,11,7,28,20,17,38,7,2,7,1.34892980873351,2.27237944012403,6
"101",18,11,24,53,61,25,88,87,5,4,11,10,3,28,2,5,11,0.833944548659011,2.19978651190338,5.4
"102",13,7,26,46,60,20,82,69,10,4,17,18,25,22,4,5,3,0.58428479805553,2.53317385687007,5.1
"103",19,16,28,63,55,42,110,110,7,4,22,12,5,32,2,5,10,3.83483262546394,2.65782084985958,4.6
"104",11,8,28,47,55,30,97,79,7,6,31,18,11,38,3,2,11,0.82717321806303,2.20768023316946,0.7
"105",13,13,20,46,52,27,90,71,12,8,36,18,28,37,2,5,6,0.6226558468084,2.32641880626142,5.1
"106",13,13,25,51,60,43,112,103,8,9,26,22,14,38,9,4,14,0.449020291806351,2.40390564419134,0.6
"107",15,22,31,68,62,31,96,72,9,6,29,20,11,37,9,2,1,0.814485298368722,1.78638896870294,2.3
"108",16,19,45,80,52,28,95,78,13,8,21,28,21,39,3,2,3,0.397094590777141,2.28681947353573,1.4
"109",21,18,39,78,51,35,103,97,12,8,30,17,15,38,3,5,1,0.271002774788434,2.48967275321082,0.1
"110",19,15,40,74,45,18,80,72,14,7,38,26,37,39,3,3,11,0.337392761793333,1.48178412230555,0.4
"111",14,15,34,63,64,25,88,85,15,8,38,30,31,39,6,4,4,0.628993580674983,2.6292412602121,1.4
"112",21,20,47,88,45,32,96,110,5,6,18,13,7,22,8,5,1,0.580093087218448,3.50021314102525,0.6
"113",15,20,45,80,45,27,90,84,8,8,24,19,31,36,2,4,8,0.996674794506198,2.76762658060662,6
"114",16,13,38,67,55,39,104,101,10,7,26,18,17,35,10,5,4,1.68993762146353,3.58281447781079,2.8
"115",24,20,47,91,43,25,92,95,10,5,34,31,23,39,5,5,3,0.232760764771747,3.14873443870972,0.2
"116",18,19,31,68,50,50,116,117,3,6,27,7,9,38,2,3,17,0.416703456333198,1.5907816202792,0.3
"117",17,18,36,71,51,42,110,110,7,7,11,2,12,28,9,5,13,0.702869454142095,2.63795926290682,1.2
"118",18,14,37,69,52,32,96,90,2,3,30,18,3,38,9,5,7,1.49311527436721,2.68619584519321,6.6
"119",13,14,26,53,69,35,99,78,17,9,32,28,36,36,0,2,4,1.05930208278532,3.11035660050126,6.6
"120",18,24,31,73,42,36,100,84,10,4,14,11,5,34,1,5,6,1.72725734835973,4.58036066609429,2.3
"121",14,25,30,69,59,47,116,137,6,4,15,15,9,38,10,4,2,0.954052458827731,3.16240952936921,3
