"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"1",17,16,30,63,60,38,108,106,84,11,6,16,11,14,33,3,3,12,4,3,6,4,3,5,3,2,3,5,2,5,3,4,3,5,5,4,7,2,3,4,5,4,3,4,2,3,4,2,9,0.260593650952821
"2",10,31,37,78,51,39,110,107,108,6,5,27,9,13,39,4,4,1,2,2,5,3,2,4,4,2,2,3,3,2,3,2,3,5,2,3,2,2,3,2,2,4,2,2,2,2,2,3,3,0.519091786709566
"3",12,18,34,64,55,41,113,109,104,8,5,9,14,20,19,2,4,10,2,2,6,2,2,2,4,5,5,4,3,3,4,2,2,6,2,3,5,2,2,2,4,2,2,2,5,3,4,7,7,0.656366209314775
"4",28,31,50,109,45,35,103,103,108,9,3,11,6,3,30,0,2,6,5,2,4,4,2,5,2,2,4,3,2,3,2,5,2,2,2,2,2,2,2,4,2,2,4,4,2,2,5,1,8,0.317546045650405
"5",17,14,27,58,60,43,96,98,108,7,2,31,16,12,38,9,4,6,6,5,5,2,2,5,2,6,5,4,4,5,5,5,4,4,4,4,4,5,2,5,3,5,6,3,2,5,5,10,10,0.360591003243193
"6",20,27,49,96,45,40,111,108,91,11,8,23,21,7,39,8,4,5,6,2,6,4,5,5,5,2,3,2,2,2,2,4,3,3,4,3,2,2,2,4,2,2,4,2,4,2,2,1,4,0.356497609328425
"7",26,10,27,63,60,34,101,102,110,14,9,26,22,27,35,10,2,5,6,3,4,4,2,5,4,2,4,3,4,5,5,2,3,4,2,3,4,3,4,5,2,4,5,4,3,2,5,6,10,0.455431294979542
"8",16,14,27,57,51,37,101,102,104,10,8,24,22,23,36,2,5,1,3,2,2,2,2,4,2,5,3,5,5,4,5,4,2,2,2,3,2,3,2,3,2,4,6,4,2,3,3,10,8,1.02595218502473
"9",20,21,39,80,51,20,71,83,97,13,6,25,22,32,18,3,4,1,3,4,2,3,2,3,2,4,3,4,4,2,5,4,2,5,2,4,2,2,3,4,3,3,5,2,3,5,4,8,4,0.40918307293524
"10",12,13,20,45,65,46,122,115,97,14,8,35,25,27,38,4,5,1,3,4,2,2,2,3,2,5,3,2,4,4,4,4,3,4,2,4,2,3,2,3,4,3,5,4,2,4,3,8,8,0.277066873653732
"11",12,12,38,62,65,39,110,107,78,13,8,28,18,23,37,9,4,9,2,3,5,3,2,6,2,2,3,5,2,5,3,3,3,6,3,5,6,2,2,2,3,3,4,2,5,2,5,2,7,1.96325918873589
"12",15,11,33,59,63,23,76,86,121,13,7,24,10,30,33,7,4,12,4,4,5,4,2,4,2,2,4,4,2,4,2,2,3,5,4,2,5,2,2,4,4,2,2,2,2,2,3,1,7,0.485350500100371
"13",19,20,39,78,51,45,120,114,117,10,8,25,21,9,31,3,2,2,2,5,4,5,2,4,2,2,4,5,2,4,4,2,2,2,2,2,2,2,2,2,4,5,6,4,2,3,4,3,9,1.15470241015154
"14",19,17,31,67,55,38,103,103,87,9,8,23,13,15,39,6,5,1,4,3,4,2,2,2,2,4,2,4,2,2,2,4,2,2,2,4,2,2,2,4,2,2,2,2,2,2,2,3,3,0.813836728832976
"15",11,11,25,47,65,27,83,90,91,15,9,23,15,6,32,2,4,2,3,3,4,3,2,3,3,2,2,4,2,2,2,2,2,1,3,1,1,1,1,1,1,4,3,1,1,1,1,1,2,0.790682071674519
"16",15,15,30,60,55,39,107,106,103,9,8,27,12,10,39,3,4,11,5,2,6,4,5,4,3,4,2,3,2,2,2,4,3,4,6,4,6,4,2,5,2,3,2,2,5,3,3,3,3,0.560561100444094
"17",12,19,34,65,65,8,50,70,64,9,5,23,14,11,38,2,4,7,7,4,3,3,7,5,2,3,5,2,2,5,4,6,2,5,6,3,5,2,4,5,2,3,7,3,4,4,6,4,10,2.19829927142157
"18",19,22,44,85,55,41,113,109,106,10,3,34,12,9,39,6,4,6,4,3,3,3,2,5,2,4,4,3,2,4,4,3,4,4,4,3,2,4,2,4,2,2,4,2,3,2,4,5,7,0.461974258151095
"19",17,13,30,60,65,25,80,88,79,13,7,29,16,19,39,9,4,19,5,2,6,3,2,6,2,4,4,4,4,5,4,4,2,6,5,4,6,4,2,4,3,4,2,5,3,2,6,7,11,1.06808420247847
"20",18,13,30,61,60,33,99,100,91,14,8,23,25,16,31,2,5,17,3,2,5,2,2,3,2,3,2,5,2,3,2,2,2,4,2,4,6,2,2,3,2,2,2,2,5,2,2,2,4,0.631303993950523
"21",15,17,37,69,61,26,87,93,110,6,2,26,25,13,36,6,5,12,4,2,7,4,4,4,5,2,3,2,2,5,2,3,3,5,4,3,5,2,2,4,2,2,3,3,4,3,5,1,8,0.387892670111157
"22",21,14,30,65,60,29,92,96,106,12,8,29,39,41,38,9,4,5,6,2,5,2,5,3,2,5,5,2,2,6,2,4,3,2,2,2,3,2,3,7,2,3,6,2,2,2,4,4,10,0.401886154330286
"23",27,12,40,79,50,28,85,92,81,15,6,25,14,7,29,5,4,1,2,3,3,2,2,4,2,6,5,4,5,6,6,4,2,2,2,2,2,5,2,3,2,3,6,2,2,2,4,12,10,1.98290867723244
"24",17,14,26,57,70,26,87,93,87,13,9,34,21,27,35,5,4,14,3,3,5,3,2,6,2,5,5,5,3,4,5,3,4,6,2,3,5,4,2,3,4,3,3,4,4,4,5,8,10,1.11120461705333
"25",14,37,38,89,50,11,55,73,71,6,6,10,3,3,31,0,4,1,3,3,2,2,4,5,2,2,3,4,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,4,1,4,0.716348060344437
"26",12,15,36,63,61,18,73,84,93,7,7,23,9,28,33,3,4,3,3,4,5,2,2,4,2,6,5,4,6,5,6,4,2,3,2,2,2,2,4,2,2,4,5,4,4,2,5,13,11,0.577728948601762
"27",16,13,41,70,50,24,78,87,88,5,7,29,18,20,38,5,4,13,3,2,3,2,2,6,2,3,4,3,5,6,5,3,2,4,4,3,3,2,2,3,2,4,3,3,2,2,6,8,10,0.829986419784273
"28",20,16,41,77,61,13,59,75,88,11,7,20,20,13,33,2,4,1,5,4,6,4,4,4,3,3,4,5,3,2,3,3,2,4,5,3,2,2,4,6,4,4,6,3,4,5,4,4,6,0.331346606059927
"29",23,16,44,83,50,25,85,92,81,11,8,29,23,31,36,3,4,2,5,5,6,5,4,5,4,3,2,5,3,2,3,4,4,5,5,4,2,3,4,4,3,3,6,4,3,2,4,4,5,0.367945922243915
"30",19,10,29,58,60,36,103,103,74,13,8,32,30,34,36,4,5,1,2,6,2,5,2,5,2,4,3,4,5,3,3,2,3,6,4,5,2,2,4,4,2,2,4,5,2,4,4,7,8,0.332164305372009
"31",29,12,44,85,55,27,83,90,82,13,3,35,24,36,36,0,5,8,4,2,2,2,2,5,2,6,4,2,2,3,4,4,2,6,2,2,5,4,2,4,3,2,5,2,2,2,5,7,6,0.814602094143547
"32",21,14,40,75,65,19,69,81,85,16,7,26,17,21,27,9,4,7,2,4,2,2,2,3,3,2,4,5,2,4,2,2,2,3,3,2,5,2,2,2,3,4,2,3,4,2,2,1,8,0.39382701654735
"33",15,28,40,83,53,33,94,97,79,5,3,27,20,1,36,2,2,3,4,2,6,2,3,5,2,3,3,2,2,3,2,4,2,5,2,3,4,2,2,4,2,3,6,3,2,2,4,2,6,0.311691364842638
"34",23,17,42,82,35,30,94,97,99,11,7,20,18,10,35,9,5,19,4,2,5,2,2,4,2,2,2,5,2,4,3,4,2,3,3,2,5,2,2,4,2,3,2,2,3,2,4,2,5,1.32408013627922
"35",21,13,39,73,65,28,90,95,93,13,6,30,26,32,34,5,2,5,4,1,5,2,2,1,1,3,1,4,2,3,1,1,3,1,2,3,1,1,2,3,2,2,3,2,2,2,2,2,1,0.984584577602654
"36",19,11,39,69,45,25,80,88,103,12,7,33,12,11,38,0,4,3,6,4,5,2,5,4,2,3,2,4,3,2,3,4,3,3,4,2,5,2,2,7,2,2,6,3,3,2,2,4,4,0.450121177099819
"37",11,14,33,58,60,43,111,108,98,14,9,32,17,26,39,7,4,6,2,3,2,2,3,4,2,6,4,4,2,4,3,2,2,3,3,3,3,4,2,2,2,3,3,2,2,2,4,6,7,1.78720199580864
"38",17,20,37,74,55,22,74,85,69,11,8,34,25,12,39,9,5,12,6,2,6,2,2,6,3,3,3,4,2,6,2,2,2,6,2,4,4,2,2,5,2,4,2,2,2,4,6,2,8,0.824583202414215
"39",19,17,32,68,51,49,122,115,108,11,9,32,18,13,38,4,4,4,2,4,2,2,2,2,2,3,3,3,4,2,3,4,2,3,2,3,2,2,2,2,2,4,3,3,2,3,2,5,5,0.190301198406797
"40",11,22,35,68,55,43,111,108,97,14,8,36,21,21,39,9,5,13,5,3,4,4,2,5,3,2,3,2,2,3,2,3,2,5,2,3,4,2,3,4,2,2,2,2,4,3,3,1,5,0.198148730005812
"41",21,17,44,82,50,35,97,99,95,9,6,13,8,6,29,0,5,8,7,6,6,5,2,7,4,5,5,4,6,4,6,6,2,6,2,6,5,5,2,4,4,3,5,2,5,2,7,12,8,1.72960806467983
"42",22,28,48,98,45,36,99,100,97,9,5,28,8,6,37,3,5,4,2,4,5,4,3,2,2,3,3,2,3,3,4,5,3,3,3,3,3,2,2,2,2,4,3,3,3,4,3,5,6,1.28668828474522
"43",22,19,38,79,60,31,96,98,87,7,5,22,11,11,33,9,5,2,2,3,2,2,2,4,2,4,3,4,4,3,4,4,2,2,2,2,2,4,2,4,2,3,4,4,2,3,4,7,7,0.549675642331934
"44",26,15,35,76,40,28,90,95,93,7,9,32,23,25,37,0,2,8,2,3,6,2,2,4,3,6,4,5,2,2,3,2,3,4,2,4,5,4,2,4,2,3,5,3,4,2,4,6,6,0.217838026922497
