"","V1","V2","V3","V5","V6","V8","V9","V10","V11","V12","V13","V14","V15","V16","mi[, 19]"
"1",17,16,30,60,38,84,11,6,16,11,14,33,3,3,0.260593650952821
"2",10,31,37,51,39,108,6,5,27,9,13,39,4,4,0.519091786709566
"3",12,18,34,55,41,104,8,5,9,14,20,19,2,4,0.656366209314775
"4",28,31,50,45,35,108,9,3,11,6,3,30,0,2,0.317546045650405
"5",17,14,27,60,43,108,7,2,31,16,12,38,9,4,0.360591003243193
"6",20,27,49,45,40,91,11,8,23,21,7,39,8,4,0.356497609328425
"7",26,10,27,60,34,110,14,9,26,22,27,35,10,2,0.455431294979542
"8",16,14,27,51,37,104,10,8,24,22,23,36,2,5,1.02595218502473
"9",20,21,39,51,20,97,13,6,25,22,32,18,3,4,0.40918307293524
"10",12,13,20,65,46,97,14,8,35,25,27,38,4,5,0.277066873653732
"11",12,12,38,65,39,78,13,8,28,18,23,37,9,4,1.96325918873589
"12",15,11,33,63,23,121,13,7,24,10,30,33,7,4,0.485350500100371
"13",19,20,39,51,45,117,10,8,25,21,9,31,3,2,1.15470241015154
"14",19,17,31,55,38,87,9,8,23,13,15,39,6,5,0.813836728832976
"15",11,11,25,65,27,91,15,9,23,15,6,32,2,4,0.790682071674519
"16",15,15,30,55,35,103,9,8,27,12,10,39,3,4,0.560561100444094
"17",12,19,34,65,8,64,9,5,23,14,11,38,2,4,2.19829927142157
"18",19,22,44,55,41,106,10,3,34,12,9,39,6,4,0.461974258151095
"19",17,13,30,65,25,79,13,7,29,16,19,39,9,4,1.06808420247847
"20",18,13,30,60,33,91,14,8,23,25,16,31,2,5,0.631303993950523
"21",15,17,37,61,26,110,6,2,26,25,13,36,6,5,0.387892670111157
"22",21,14,30,60,29,106,12,8,29,39,41,38,9,4,0.401886154330286
"23",27,12,40,50,28,81,15,6,25,14,7,29,5,4,1.98290867723244
"24",17,14,26,70,26,87,13,9,34,21,27,35,5,4,1.11120461705333
"25",14,37,38,50,11,71,6,6,10,3,3,31,0,4,0.716348060344437
"26",12,15,36,61,18,93,7,7,23,9,28,33,3,4,0.577728948601762
"27",16,13,41,50,24,88,5,7,29,18,20,38,5,4,0.829986419784273
"28",20,16,41,61,13,88,11,7,20,20,13,33,2,4,0.331346606059927
"29",23,16,44,50,25,81,11,8,29,23,31,36,3,4,0.367945922243915
"30",19,10,29,60,33,74,13,8,32,30,34,36,4,5,0.332164305372009
"31",29,12,44,55,27,82,13,3,35,24,36,36,0,5,0.814602094143547
"32",21,14,40,65,19,85,16,7,26,17,21,27,9,4,0.39382701654735
