rho,Mij,alpha,gamma,Stochastic Resonance 
0.4374023,0.000340161,0.309071,0.4374023,no
0.3778141,0.1633649,0.7176686,4.048366,no
0.04833665,0.1917296,0.08537381,0.7176686,no
0.8673108,0.01995762,0.8447114,0.1917296,no
0.2074699,0.1632071,0.9215854,0.8673108,no
0.0898357,0.192995,0.2605256,1.503478,no
0.9361196,0.1277774,0.6095483,0.9215854,no
0.9118186,0.07034394,0.4717448,0.192995,no
0.090541,0.02304239,0.5531915,0.9361196,yes
0.4003056,0.1811442,0.408094,3.32784,no
0.642679,0.0438129,0.5935301,0.4717448,no
0.6846769,0.1864439,0.5312604,0.02304239,no
0.1176234,0.03225433,0.8435691,0.4003056,no
0.2803209,0.1832116,0.892193,2.843822,no
0.5395219,0.0658369,0.3021366,0.5935301,yes
0.858647,0.1820773,0.1315785,0.1864439,no
0.5188007,0.1355794,0.9990458,0.1176234,no
0.9912175,0.1812988,0.2854639,0.6051147,no
0.7463055,0.05994395,0.4060362,0.892193,no
0.7196075,0.08435837,0.8539377,0.0658369,no
0.1646056,0.1575636,0.3553283,0.858647,no
0.003022204,0.004693375,0.6893668,1.598628,yes
0.4134912,0.07342967,0.5837057,0.9990458,no
0.5455787,0.1958404,0.1206274,0.1812988,no
0.8899635,0.1911261,0.0976291,0.7463055,no
0.714,0.148305,0.7288989,0.06209013,no
0.3827421,0.1810897,0.1516563,0.8539377,no
0.8710857,0.107764,0.636982,0.1575636,no
0.5028267,0.1967111,0.1713421,0.003022204,no
0.982679,0.1692882,0.6739249,3.361017,no
0.4477285,0.1772787,0.09631882,0.5837057,no
0.07334053,0.1930732,0.5332953,0.1958404,no
0.1890381,0.006572229,0.9555524,0.8899635,yes
0.5618096,0.05936207,0.3704235,0.114111,no
0.4269688,0.1304549,0.6652312,0.7288989,no
0.824563,0.03026232,0.2438514,0.1810897,yes
0.03542364,0.01650718,0.3749121,0.8710857,yes
0.06916751,0.0520199,0.04196088,0.7587056,no
0.8478686,0.1803629,0.583066,0.1713421,no
0.7258033,0.1345807,0.05084706,0.1692882,no
0.4374023,0.000340161,0.309071,4.048366,yes
0.3778141,0.1633649,0.7176686,4.168598,no
0.04833665,0.1917296,0.08537381,4.065299,no
0.8673108,0.01995762,0.8447114,1.503478,no
0.2074699,0.1632071,0.9215854,3.756659,no
0.0898357,0.192995,0.2605256,4.96854,no
0.9361196,0.1277774,0.6095483,3.32784,no
0.9118186,0.07034394,0.4717448,4.468484,no
0.090541,0.02304239,0.5531915,1.651344,yes
0.4003056,0.1811442,0.408094,2.843822,no
0.642679,0.0438129,0.5935301,3.147037,no
0.6846769,0.1864439,0.5312604,0.9292955,no
0.1176234,0.03225433,0.8435691,0.6051147,yes
0.2803209,0.1832116,0.892193,3.582796,no
0.5395219,0.0658369,0.3021366,1.994869,no
0.858647,0.1820773,0.1315785,1.598628,no
0.5188007,0.1355794,0.9990458,1.833411,no
0.9912175,0.1812988,0.2854639,1.036824,no
0.7463055,0.05994395,0.4060362,0.06209013,no
0.7196075,0.08435837,0.8539377,2.972695,no
0.1646056,0.1575636,0.3553283,0.7099455,no
0.003022204,0.004693375,0.6893668,3.361017,yes
0.4134912,0.07342967,0.5837057,0.9301169,no
0.5455787,0.1958404,0.1206274,1.895651,no
0.8899635,0.1911261,0.0976291,0.114111,no
0.714,0.148305,0.7288989,1.654789,no
0.3827421,0.1810897,0.1516563,0.9821573,no
0.8710857,0.107764,0.636982,0.7587056,no
0.5028267,0.1967111,0.1713421,2.076294,no
0.982679,0.1692882,0.6739249,1.164382,no
0.4477285,0.1772787,0.09631882,4.272049,no
0.07334053,0.1930732,0.5332953,0.8817336,no
0.1890381,0.006572229,0.9555524,2.091018,yes
0.5618096,0.05936207,0.3704235,0.1725456,no
0.4269688,0.1304549,0.6652312,3.195261,no
0.824563,0.03026232,0.2438514,1.241975,no
0.03542364,0.01650718,0.3749121,4.180565,yes
0.06916751,0.0520199,0.04196088,3.100191,yes
0.8478686,0.1803629,0.583066,0.4508058,no
0.7258033,0.1345807,0.05084706,2.491582,no
0.7984522,0.1470219,0.5562703,3.957145,no
0.09538575,0.09500895,0.03789631,0.3834869,yes
0.1023565,0.1875487,0.01230529,2.106404,yes
0.7066212,0.001735996,0.8396286,2.183035,no
0.02274417,0.1267631,0.4076425,2.031303,no
0.9639981,0.01296588,0.3852564,3.352645,no
0.4401092,0.04859577,0.2929459,3.09534,yes
0.7403662,0.1922385,0.816764,1.086532,no
0.890964,0.01651209,0.7072974,0.6632332,no
0.1264577,0.0855687,0.7401099,1.901825,yes
0.612391,0.05783786,0.2808398,3.994623,no
0.5586199,0.01033163,0.9249826,4.747856,no
0.1148299,0.1658589,0.07866977,1.986616,no
0.8760511,0.1977174,0.4221696,3.952755,no
0.4562506,0.1842618,0.363752,0.4410847,no
0.1031529,0.09364911,0.2145719,3.267488,no
0.2349799,0.03227788,0.1103842,3.60665,no
0.8387727,0.02114503,0.1753577,0.7422631,no
0.7580601,0.006832829,0.9893085,0.6577839,no
0.3611133,0.1438779,0.7361735,3.870086,no
0.887221,0.02180032,0.7244845,0.3528908,no
